Experiment,Trial,Object,Pose,Score,Inference Time
0,0,banana,0,0,3.38e+16
0,0,banana,1,0,3.96e+16
0,0,banana,2,0,2.78e+16
0,0,banana,3,0,2.47e+16
0,0,banana,4,0,3.3e+16
0,0,banana,5,0,2.71e+16
